selection_order,basin_id
1,06360500
2,02312200
3,08269000
4,11151300
5,03463300
6,06404000
7,05556500
8,04045500
9,10166430
10,02011400
11,01638480
12,03346000
13,06339100
14,04221000
15,04127918
16,01552000
17,01542810
18,14092750
19,05487980
20,02299950
21,02059500
22,14158500
23,06354000
24,05057200
25,10259200
26,08202700
27,03280700
28,11266500
29,08025500
30,01613050
31,07301500
32,12082500
33,08194200
34,02177000
35,02178400
36,02038850
37,01594950
38,05393500
39,01078000
40,11451100
41,12390700
42,07014500
43,01365000
44,06876700
45,12114500
46,11476600
47,14308990
48,02092500
49,01543000
50,03281100
